venda_id,data,produto,categoria_produto,canal,campanha,receita,custo,custo_marketing
1000,2024-09-26,Mesa Escritório,Móveis,Orgânico,Nenhuma,594.35,412.02,0.0
1001,2024-02-08,Teclado Mecânico,Periféricos,Email Marketing,Verão Ofertas,278.24,193.81,47.83
1002,2024-01-09,Notebook Pro,Eletrônicos,Facebook Ads,Semana Tech,3297.81,2152.54,59.26
1003,2024-11-23,Mesa Escritório,Móveis,Orgânico,Nenhuma,580.6,398.64,0.0
1004,2024-03-03,"Monitor 27""",Periféricos,Facebook Ads,Black Friday,1126.59,697.32,78.64
1005,2024-01-09,Cadeira Gamer,Móveis,Google Ads,Black Friday,762.29,515.83,36.73
1006,2024-02-12,Smartphone X,Eletrônicos,Orgânico,Nenhuma,1867.11,1133.78,0.0
1007,2024-12-04,Mesa Escritório,Móveis,Facebook Ads,Nenhuma,645.61,401.24,51.57
1008,2024-01-31,"Monitor 27""",Periféricos,Email Marketing,Verão Ofertas,1217.37,752.77,19.97
1009,2024-10-28,Smartphone X,Eletrônicos,Email Marketing,Institucional,2041.38,1419.91,68.58
1010,2024-01-09,Mesa Escritório,Móveis,Email Marketing,Verão Ofertas,551.12,331.89,34.5
1011,2024-11-25,Teclado Mecânico,Periféricos,Facebook Ads,Semana Tech,282.28,171.1,62.95
1012,2024-12-13,Smartphone X,Eletrônicos,Google Ads,Verão Ofertas,1890.52,1289.14,35.03
1013,2024-06-01,Notebook Pro,Eletrônicos,Google Ads,Verão Ofertas,3251.67,1993.71,19.08
1014,2024-08-14,Teclado Mecânico,Periféricos,Email Marketing,Nenhuma,309.96,216.07,68.54
1015,2024-08-03,Cadeira Gamer,Móveis,Facebook Ads,Institucional,852.7,542.88,70.03
1016,2024-05-15,Mesa Escritório,Móveis,Email Marketing,Black Friday,641.95,394.78,25.58
1017,2024-09-18,"Monitor 27""",Periféricos,Email Marketing,Verão Ofertas,1142.39,735.83,63.52
1018,2024-10-17,Mesa Escritório,Móveis,Influencers,Verão Ofertas,628.81,399.42,78.81
1019,2024-11-05,Mesa Escritório,Móveis,Facebook Ads,Nenhuma,617.4,372.1,63.73
1020,2024-12-29,"Monitor 27""",Periféricos,Facebook Ads,Black Friday,1160.96,729.99,24.91
1021,2024-11-11,Mesa Escritório,Móveis,Email Marketing,Institucional,598.76,406.5,48.71
1022,2024-06-02,Mesa Escritório,Móveis,Influencers,Institucional,609.58,420.25,182.32
1023,2024-05-31,Mesa Escritório,Móveis,Facebook Ads,Semana Tech,570.8,365.53,68.09
1024,2024-04-19,"Monitor 27""",Periféricos,Google Ads,Verão Ofertas,1139.8,793.69,55.58
1025,2024-06-08,"Monitor 27""",Periféricos,Google Ads,Semana Tech,1095.05,751.08,77.58
1026,2024-01-13,Smartphone X,Eletrônicos,Email Marketing,Institucional,1833.91,1185.01,30.1
1027,2024-09-22,Cadeira Gamer,Móveis,Email Marketing,Institucional,845.43,541.33,49.56
1028,2024-02-07,Teclado Mecânico,Periféricos,Influencers,Nenhuma,289.14,183.18,171.95
1029,2024-12-09,Notebook Pro,Eletrônicos,Google Ads,Nenhuma,3663.35,2369.83,60.82
1030,2024-11-29,"Monitor 27""",Periféricos,Facebook Ads,Black Friday,1299.91,821.41,33.95
1031,2024-12-27,"Monitor 27""",Periféricos,Facebook Ads,Semana Tech,1281.87,853.09,33.96
1032,2024-07-20,Smartphone X,Eletrônicos,Facebook Ads,Nenhuma,2103.62,1358.59,29.99
1033,2024-12-15,Mesa Escritório,Móveis,Google Ads,Verão Ofertas,586.05,365.63,15.39
1034,2024-05-08,"Monitor 27""",Periféricos,Orgânico,Nenhuma,1256.61,808.07,0.0
1035,2024-12-30,Cadeira Gamer,Móveis,Influencers,Black Friday,809.86,486.77,192.85
1036,2024-02-04,Mesa Escritório,Móveis,Orgânico,Nenhuma,571.05,354.06,0.0
